,udisc_name,pdga_no,cur_rating,cur_udisc_rank,cur_udisc_index,cur_pdga_rank
209,Micah Groth,113179,1021,,,
210,Jesper Lundmark,15239,1020,,,
211,Chris Pinegar,74719,1020,,,
212,Chris Pinegar,74719,1020,,,
213,Aidan Scott,99246,1020,,,
214,Paul Krans,132521,1020,,,
215,Miles Seaborn,29264,1019,,,
216,Dylan Evans,54508,1019,,,
217,Peter Calabrese,137471,1019,,,
218,David Feldberg,12626,1018,,,
219,Marco Lehousse,13500,1018,,,
220,Kyle Crabtree,25596,1018,,,
221,Stephan Muller,4498,1017,,,
222,Michael Johansen,20300,1017,,,
223,Casey Hanemayer,67314,1017,,,
224,Niilo Hongisto,214251,1017,,,
225,Barry Schultz,6840,1016,,,
226,Dan Hastings,33504,1016,,,
227,Jonathan Nicholson,101390,1016,,,
228,Christian Dietrich,27984,1015,,,
229,Emil Dahlgren,29048,1015,,,
230,Kenny Clark,39829,1015,,,
231,Mikael Rasanen,73312,1015,,,
232,Matt Hammersten,81781,1015,,,
233,Seth Talbott,114877,1015,,,
234,Jussi Meresmaa,14600,1014,,,
235,Samuel Aldrich,22055,1014,,,
236,Samuel Aldrich,22055,1014,,,
237,Dominik Stampfer,35089,1014,,,
238,Dominik Stampfer,35089,1014,,,
239,Dai Ooishi,49121,1014,,,
240,Dai Ooishi,49121,1014,,,
241,Jonas Halleblad,5309,1013,,,
242,Matt Dollar,26045,1013,,,
243,Cody Kirkland,28198,1013,,,
244,Seppo Paju,36744,1013,,,
245,Scott Conway,38603,1013,,,
246,Alan Logan,38925,1013,,,
247,Brian Dyrdahl,52478,1013,,,
248,Lucas Oberholtzer Hess,90439,1013,,,
249,Eetu Salomaki,117593,1013,,,
250,Sylvain Gouge,8431,1012,,,
251,JohnE McCray,9852,1012,,,
252,Logan Bowers,31536,1012,,,
253,Logan Bowers,31536,1012,,,
254,Jarod Gogal,72409,1012,,,
255,Chadwick Miller,80981,1012,,,
256,Brandon Brown,87673,1012,,,
257,Ben Stemen,100815,1012,,,
258,Joey Temali,100818,1012,,,
259,Christian Foster,113638,1012,,,
260,Christian Foster,113638,1012,,,
261,Braeden Sides,129963,1012,,,
262,Randy Dueck,139619,1012,,,
263,Charlie Goodpasture,26455,1011,,,
